1299131,1395091,150,228,2,
1292218,3793023,388,2965,13,
1299398,1308807,301,763,4,
1292208,1293929,416,666,1,
1858711,5908478,879,409,2,
1291572,1306861,90,374,1,
11525673,1299361,454,369,3,
2297265,3287562,984,449,10,
1291557,3793023,776,2965,9,
1294639,1306861,678,374,3,
1292287,1296753,203,319,3,
1291571,1302476,203,245,1,
1291571,1292329,203,556,3,
1292000,1865703,1771,274,12,
1298624,1303037,1231,417,8,
1292656,1756073,1128,482,3,
1292224,1307315,1285,51,2,
1292659,1297478,55,127,1,
1293544,1309046,440,1279,17,
1294371,2129039,96,2026,7,
1291990,1295644,1373,2528,40,
1291571,1787291,203,2880,6,
1292274,6786002,705,1373,12,
1291557,1291841,776,636,6,
1295865,3442220,911,1403,15,
1292220,1298624,2505,1231,15,
1291828,4268598,1564,2021,27,
1294408,1438652,175,695,2,
1295409,2209573,139,2316,6,
1292001,1292052,3496,3457,72,
1907966,3072124,775,1978,16,
1293764,1316572,191,177,2,
1292062,1295409,851,139,2,
1292218,1292365,388,945,6,
1294638,1308857,38,388,2,
1306029,2297265,1131,984,11,
1291841,2297265,636,984,5,
1291560,1388216,887,801,12,
10577869,1293182,643,828,6,
1418019,5908478,56,409,1,
1858711,1937946,879,843,6,
1291568,1300299,306,699,7,
1299327,1301169,495,292,5,
1291546,1291870,2936,438,16,
2209573,4268598,2316,2021,29,
1291565,1306249,202,81,1,
1292224,1293182,1285,828,9,
1291545,1308807,1088,763,14,
1294240,1294371,161,96,3,
1297478,1307914,127,404,2,
1297192,1300267,637,713,4,
1293399,3792799,344,2190,3,
1292728,2334904,177,1353,7,
1292281,1301169,232,292,1,
1292223,1302467,1077,166,11,
1419936,3443389,429,517,5,
1293318,2131459,885,1895,31,
1292274,1419936,705,429,11,
1292213,1307811,1670,297,6,
1294408,6146955,175,337,3,
1292370,1305725,1351,350,6,
1291841,1292925,636,265,3,
1294408,2353023,175,823,2,
1293181,1303037,163,417,4,
1293399,3287562,344,449,3,
1291879,1295399,722,302,22,
1291828,1296736,1564,630,24,
1292208,1316572,416,177,2,
1291557,1293839,776,582,11,
1300267,21937445,713,615,4,
1292329,1300960,556,892,4,
1849031,6985810,735,699,3,
1293964,4917726,261,1288,6,
1307914,2043546,404,2168,8,
1295644,1301617,2528,335,7,
3011051,3793023,1309,2965,43,
1300960,1959195,892,159,2,
1760622,3395373,1838,1665,9,
1293544,5989818,440,561,2,
10777687,1292722,446,1012,1,
1292849,1294371,343,96,3,
1291841,1300741,636,213,2,
1292218,1418019,388,56,2,
1291992,1418200,460,906,4,
1291560,5989818,887,561,4,
1844413,2053515,931,2020,9,
1292434,1419936,1708,429,11,
1291832,1292720,756,1883,29,
1293350,1294408,425,175,3,
1302425,21360417,497,445,3,
1291999,1292328,1237,1290,21,
1292659,1299327,55,495,2,
1291843,1307793,376,523,5,
1292659,6985810,55,699,1,
1291841,1303037,636,417,9,
1291578,4739952,120,3255,2,
1291578,1299327,120,495,4,
1294240,1297192,161,637,6,
1308767,1395091,100,228,2,
1291548,1300299,1849,699,13,
1291583,1291828,702,1564,11,
1308777,3442220,941,1403,9,
1292329,1307811,556,297,2,
1297478,1305487,127,364,4,
1419936,1907966,429,775,8,
1418200,3742360,906,4029,27,
1292679,1298653,1287,392,4,
1300267,3157605,713,183,2,
1292402,1292528,1755,855,21,
1292274,5964718,705,826,14,
1292233,5989818,611,561,1,
1292728,1295644,177,2528,13,
1292434,1301171,1708,141,6,
1292328,1309163,1290,1518,12,
1291561,1292343,1617,1771,20,
1300374,3287562,378,449,9,
1297359,1438652,394,695,12,
1291853,5989818,682,561,2,
1292215,1858711,1592,879,15,
1291557,1308857,776,388,7,
1293460,1295644,115,2528,8,
1307793,1308777,523,941,8,
1293181,3319755,163,2634,10,
1302827,1418200,749,906,5,
1292343,2053515,1771,2020,26,
1292370,1300741,1351,213,2,
1294639,1300992,678,313,8,
